file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,221,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,222,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,0
style.css,223,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,1,27
style.css,224,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,26
style.css,225,css,728cd214,Surya Setty,2025-04-26,22:45:17,-07:00,2025-04-26T22:45:17-07:00,2,36
style.css,226,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,0
style.css,227,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,228,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,14
style.css,229,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,3
style.css,230,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,15
style.css,231,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,12
style.css,232,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,233,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,23
style.css,234,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,25
style.css,235,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,39
style.css,236,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,19
style.css,237,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,238,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,20
style.css,239,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,18
style.css,240,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,241,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,242,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,13
style.css,243,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,25
style.css,244,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,25
style.css,245,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,39
style.css,246,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,20
style.css,247,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,248,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
style.css,249,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,5
style.css,250,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,13
style.css,251,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,13
style.css,252,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,17
style.css,253,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,6
style.css,254,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,13
style.css,255,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,1,20
style.css,256,css,a42c2da8,Surya Setty,2025-05-09,17:19:11,-07:00,2025-05-09T17:19:11-07:00,0,0
